image,label
"[[[ 96  97 117]
  [ 95  96 116]
  [ 97  98 117]
  ...
  [ 82  78 102]
  [ 43  49  79]
  [ 27  38  71]]

 [[ 99  99 120]
  [ 97  98 118]
  [ 97  98 118]
  ...
  [ 42  50  81]
  [ 36  49  86]
  [ 34  53  93]]

 [[103 102 122]
  [101 100 120]
  [ 99  99 118]
  ...
  [ 36  57  96]
  [ 32  56  99]
  [ 27  53 102]]

 ...

 [[ 23  19  18]
  [ 38  34  33]
  [ 41  38  36]
  ...
  [194 163 138]
  [193 162 137]
  [194 162 138]]

 [[ 25  21  20]
  [ 45  40  39]
  [ 43  39  38]
  ...
  [192 161 136]
  [191 160 135]
  [191 160 135]]

 [[ 20  16  15]
  [ 43  39  38]
  [ 39  35  34]
  ...
  [191 160 135]
  [189 158 133]
  [188 157 132]]]",0
"[[[ 3 11  8]
  [ 5 12  9]
  [ 6 11 10]
  ...
  [ 3  6 11]
  [ 0  1  5]
  [ 3  5  9]]

 [[11 19 16]
  [12 18 16]
  [11 16 16]
  ...
  [ 6  6  9]
  [ 4  3  6]
  [ 2  1  4]]

 [[ 1  4  2]
  [ 1  3  3]
  [ 1  2  2]
  ...
  [16 14 14]
  [15 13 12]
  [ 5  3  3]]

 ...

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]",0
"[[[ 29  44  62]
  [ 23  34  49]
  [ 42  47  53]
  ...
  [ 10  10  10]
  [ 12  12  12]
  [ 15  15  15]]

 [[ 25  40  59]
  [ 14  25  40]
  [ 31  37  42]
  ...
  [  9   9   9]
  [  8   8   8]
  [ 11  11  11]]

 [[ 25  39  59]
  [ 15  26  41]
  [ 32  37  43]
  ...
  [  6   6   6]
  [  8   8   8]
  [ 11  11  11]]

 ...

 [[ 33  64 109]
  [ 22  54 105]
  [  7  40  99]
  ...
  [ 21  39  46]
  [ 25  42  50]
  [ 29  45  53]]

 [[ 33  70 110]
  [ 25  59 106]
  [ 11  40  97]
  ...
  [ 20  39  46]
  [ 26  44  51]
  [ 29  48  54]]

 [[ 31  73 110]
  [ 24  61 106]
  [ 13  40  96]
  ...
  [ 20  39  47]
  [ 27  44  51]
  [ 30  48  55]]]",0
"[[[ 27  30  35]
  [ 27  30  35]
  [ 26  29  34]
  ...
  [ 33  28  30]
  [ 34  31  36]
  [ 27  26  31]]

 [[ 26  29  34]
  [ 26  29  34]
  [ 26  30  34]
  ...
  [ 34  29  30]
  [ 34  30  34]
  [ 28  27  31]]

 [[ 26  29  34]
  [ 26  29  34]
  [ 27  30  35]
  ...
  [ 35  31  30]
  [ 31  30  32]
  [ 30  29  33]]

 ...

 [[ 28  30  36]
  [ 28  31  36]
  [ 28  31  36]
  ...
  [ 43  52  72]
  [ 40  50  74]
  [ 33  45  69]]

 [[ 24  25  29]
  [ 24  26  29]
  [ 24  26  29]
  ...
  [ 43  52  72]
  [ 40  51  74]
  [ 33  45  68]]

 [[177 177 178]
  [169 169 170]
  [163 163 163]
  ...
  [ 35  46  65]
  [ 33  45  65]
  [ 33  43  64]]]",0
"[[[ 37  25  25]
  [ 43  31  29]
  [ 46  34  32]
  ...
  [ 99  50  28]
  [ 96  47  25]
  [ 96  46  25]]

 [[ 32  20  19]
  [ 40  28  26]
  [ 42  30  28]
  ...
  [ 97  48  26]
  [ 94  45  23]
  [ 94  44  24]]

 [[ 31  19  17]
  [ 32  20  18]
  [ 33  22  19]
  ...
  [ 94  45  23]
  [ 92  43  22]
  [ 92  42  22]]

 ...

 [[ 46  38  38]
  [ 41  35  34]
  [ 24  20  19]
  ...
  [125 114  84]
  [115 100  68]
  [119 100  65]]

 [[ 42  33  33]
  [ 43  38  37]
  [ 20  17  16]
  ...
  [119 108  77]
  [120 105  72]
  [110  91  56]]

 [[ 26  18  18]
  [ 22  17  15]
  [ 22  18  17]
  ...
  [104  93  62]
  [117 103  69]
  [114  96  60]]]",0
"[[[ 61  84 100]
  [ 64  86 104]
  [ 66  90 108]
  ...
  [  3  19  48]
  [  4  19  46]
  [  4  19  45]]

 [[ 62  84 102]
  [ 65  87 105]
  [ 67  91 109]
  ...
  [  6  23  52]
  [  5  23  50]
  [  5  21  49]]

 [[ 64  86 104]
  [ 67  89 107]
  [ 69  93 111]
  ...
  [  5  26  57]
  [  4  25  56]
  [  4  24  56]]

 ...

 [[  5  12  49]
  [  6  13  51]
  [  6  15  53]
  ...
  [ 66  95 102]
  [ 61  94 100]
  [ 64  98 104]]

 [[  4  11  45]
  [  4  13  48]
  [  6  14  52]
  ...
  [ 78 107 114]
  [ 64  97 103]
  [ 58  94 100]]

 [[  4  12  42]
  [  6  13  47]
  [  7  13  51]
  ...
  [ 82 110 117]
  [ 68 101 107]
  [ 61  99 104]]]",0
"[[[215 164 172]
  [225 186 192]
  [213 174 180]
  ...
  [108 116 129]
  [109 110 126]
  [ 73  68  88]]

 [[215 164 172]
  [222 183 189]
  [218 178 184]
  ...
  [113 121 134]
  [108 110 126]
  [ 76  72  91]]

 [[215 164 172]
  [217 179 185]
  [223 183 190]
  ...
  [114 123 136]
  [113 115 131]
  [ 80  75  94]]

 ...

 [[ 52  23  14]
  [ 51  22  15]
  [ 31  17  10]
  ...
  [114 119 140]
  [104 109 130]
  [111 116 137]]

 [[ 52  23  14]
  [ 51  22  15]
  [ 31  17  10]
  ...
  [116 121 142]
  [113 117 138]
  [112 117 138]]

 [[ 52  23  14]
  [ 51  22  15]
  [ 31  17  10]
  ...
  [118 123 144]
  [113 118 139]
  [110 115 136]]]",0
"[[[218 217 219]
  [222 221 223]
  [224 223 225]
  ...
  [221 223 224]
  [221 223 224]
  [221 223 224]]

 [[218 217 219]
  [222 221 223]
  [224 223 225]
  ...
  [220 222 223]
  [220 222 223]
  [220 222 223]]

 [[218 217 219]
  [222 221 223]
  [224 223 225]
  ...
  [220 222 223]
  [220 222 223]
  [220 222 223]]

 ...

 [[182 202 220]
  [170 190 208]
  [170 190 208]
  ...
  [154 153 162]
  [154 153 162]
  [155 154 163]]

 [[182 198 217]
  [174 190 208]
  [189 205 224]
  ...
  [161 158 167]
  [160 157 166]
  [160 158 166]]

 [[184 199 218]
  [170 185 204]
  [183 198 217]
  ...
  [170 167 176]
  [170 167 176]
  [170 167 176]]]",0
"[[[  7  33  50]
  [  7  33  50]
  [  7  33  50]
  ...
  [ 64 123 163]
  [ 52 117 155]
  [ 44 110 145]]

 [[  7  33  50]
  [  7  33  50]
  [  7  33  50]
  ...
  [ 46 102 141]
  [ 42 102 139]
  [ 37  98 132]]

 [[  8  34  51]
  [  8  34  51]
  [  8  34  51]
  ...
  [ 37  89 126]
  [ 34  88 122]
  [ 28  82 114]]

 ...

 [[  2  16  44]
  [  1  17  44]
  [  3  20  47]
  ...
  [  1  14  12]
  [  0  12  11]
  [  0  12  10]]

 [[  3  17  45]
  [  1  18  45]
  [  3  20  47]
  ...
  [  1  14  12]
  [  0  12  11]
  [  0  12  10]]

 [[  3  17  47]
  [  2  18  45]
  [  1  20  47]
  ...
  [  0  13  11]
  [  0  13  11]
  [  0  12  10]]]",0
"[[[ 67 132 163]
  [ 64 130 161]
  [ 66 136 166]
  ...
  [127 226 251]
  [126 225 250]
  [126 224 250]]

 [[ 67 132 163]
  [ 70 136 167]
  [ 66 136 166]
  ...
  [134 214 240]
  [128 207 235]
  [120 199 228]]

 [[ 70 135 166]
  [ 73 139 170]
  [ 69 139 169]
  ...
  [ 94 154 186]
  [ 93 151 183]
  [ 90 149 181]]

 ...

 [[ 17  34  73]
  [ 17  34  73]
  [ 17  34  73]
  ...
  [194 230 236]
  [192 228 234]
  [190 226 232]]

 [[ 18  33  74]
  [ 17  34  73]
  [ 17  34  73]
  ...
  [194 230 237]
  [192 228 235]
  [190 226 233]]

 [[ 20  28  77]
  [ 18  30  74]
  [ 17  32  71]
  ...
  [189 224 235]
  [190 224 236]
  [190 225 236]]]",0
"[[[19 42 68]
  [20 43 69]
  [21 44 70]
  ...
  [ 3  9 29]
  [ 7 15 38]
  [ 6 17 29]]

 [[19 42 68]
  [19 42 68]
  [20 43 69]
  ...
  [12 18 37]
  [10 18 36]
  [ 7 18 29]]

 [[17 40 66]
  [18 41 67]
  [19 42 68]
  ...
  [10 17 35]
  [11 18 33]
  [13 22 33]]

 ...

 [[ 4 28 56]
  [ 5 29 59]
  [ 6 30 62]
  ...
  [ 2  6 23]
  [ 2  7 22]
  [ 1  6 21]]

 [[ 3 27 55]
  [ 4 28 58]
  [ 6 30 62]
  ...
  [ 0  5 22]
  [ 1  7 21]
  [ 2  7 22]]

 [[ 2 26 54]
  [ 5 29 59]
  [ 7 29 61]
  ...
  [ 0  4 21]
  [ 0  5 19]
  [ 1  6 21]]]",0
"[[[ 36  99 133]
  [ 35  98 132]
  [ 36  97 131]
  ...
  [112 138 144]
  [106 132 138]
  [106 132 138]]

 [[ 39 102 138]
  [ 38 101 136]
  [ 37 100 135]
  ...
  [109 136 143]
  [105 132 138]
  [102 129 135]]

 [[ 42 105 143]
  [ 40 104 141]
  [ 39 103 138]
  ...
  [102 130 137]
  [ 97 125 132]
  [ 93 121 128]]

 ...

 [[  0  16  27]
  [  0  16  27]
  [  0  17  28]
  ...
  [  2  14  16]
  [  1  13  15]
  [  0  12  14]]

 [[  0  15  27]
  [  0  15  27]
  [  0  16  28]
  ...
  [  2  14  16]
  [  1  13  15]
  [  0  12  14]]

 [[  1  16  25]
  [  1  16  25]
  [  2  17  26]
  ...
  [  2  14  16]
  [  1  13  15]
  [  0  12  14]]]",0
"[[[ 17  24  39]
  [ 17  24  39]
  [ 17  25  42]
  ...
  [ 28 105 168]
  [ 29 106 169]
  [ 29 106 169]]

 [[ 23  25  44]
  [ 22  24  43]
  [ 23  25  46]
  ...
  [ 28 106 169]
  [ 29 107 170]
  [ 29 107 170]]

 [[ 87  86 102]
  [ 88  88 105]
  [ 94  93 112]
  ...
  [ 28 107 170]
  [ 29 108 171]
  [ 29 108 171]]

 ...

 [[  2  10  27]
  [  2  10  27]
  [  2   9  27]
  ...
  [  9  29  69]
  [ 10  29  70]
  [ 10  29  70]]

 [[  1   9  26]
  [  1   9  26]
  [  1   8  26]
  ...
  [  7  30  75]
  [  7  30  76]
  [  7  30  76]]

 [[  1   9  26]
  [  1   9  26]
  [  1   8  26]
  ...
  [ 12  32  74]
  [ 14  33  76]
  [ 16  36  79]]]",0
"[[[ 51  90  58]
  [ 51  90  58]
  [ 54  90  60]
  ...
  [100 113 111]
  [ 95 108 106]
  [ 92 106 104]]

 [[ 52  90  59]
  [ 52  90  59]
  [ 54  90  60]
  ...
  [ 84  98  95]
  [ 80  94  92]
  [ 79  92  90]]

 [[ 52  91  59]
  [ 53  91  60]
  [ 55  91  61]
  ...
  [ 72  86  84]
  [ 68  82  80]
  [ 64  80  77]]

 ...

 [[ 62  65  63]
  [ 63  66  64]
  [ 63  66  64]
  ...
  [ 47  48  44]
  [ 46  47  43]
  [ 45  46  42]]

 [[ 62  65  63]
  [ 63  66  64]
  [ 63  66  64]
  ...
  [ 47  48  44]
  [ 46  47  43]
  [ 45  46  42]]

 [[ 62  65  63]
  [ 63  66  64]
  [ 63  66  64]
  ...
  [ 47  48  44]
  [ 46  47  43]
  [ 45  46  42]]]",0
"[[[164 167 165]
  [163 169 165]
  [164 173 166]
  ...
  [148 185 185]
  [145 182 182]
  [137 175 175]]

 [[161 166 164]
  [162 168 164]
  [163 171 163]
  ...
  [135 166 167]
  [134 165 166]
  [131 162 163]]

 [[157 164 161]
  [160 166 162]
  [163 170 160]
  ...
  [138 164 163]
  [135 160 159]
  [136 161 160]]

 ...

 [[105 149 170]
  [103 147 168]
  [102 144 165]
  ...
  [143 185 200]
  [144 186 201]
  [144 186 201]]

 [[100 143 164]
  [101 144 165]
  [102 145 166]
  ...
  [142 187 201]
  [142 187 201]
  [142 187 201]]

 [[ 97 140 161]
  [ 99 142 163]
  [102 145 166]
  ...
  [142 187 201]
  [142 187 201]
  [142 187 201]]]",0
"[[[ 31  42  80]
  [ 31  43  81]
  [ 31  45  83]
  ...
  [157 186 213]
  [153 181 209]
  [152 181 208]]

 [[ 33  49  86]
  [ 33  49  86]
  [ 31  49  86]
  ...
  [165 190 218]
  [162 187 214]
  [157 181 209]]

 [[ 33  52  89]
  [ 32  52  89]
  [ 31  53  89]
  ...
  [166 201 226]
  [163 198 224]
  [156 190 217]]

 ...

 [[ 48  75 109]
  [ 49  76 110]
  [ 50  78 112]
  ...
  [  7  10  14]
  [  3   3   6]
  [  5   3   3]]

 [[ 46  74 108]
  [ 46  74 109]
  [ 47  75 109]
  ...
  [  4  10  18]
  [  3   3   6]
  [  9   6   6]]

 [[ 44  75 108]
  [ 43  74 107]
  [ 45  73 107]
  ...
  [ 10  18  29]
  [  3   5  10]
  [  9   6   3]]]",0
"[[[103 112 112]
  [ 54  63  63]
  [ 51  63  63]
  ...
  [ 67  87  85]
  [ 65  80  79]
  [ 68  84  83]]

 [[104 112 112]
  [ 53  63  63]
  [ 52  64  64]
  ...
  [ 63  84  82]
  [ 71  87  86]
  [ 76  92  91]]

 [[104 112 112]
  [ 54  64  64]
  [ 52  64  64]
  ...
  [ 69  90  88]
  [ 73  89  88]
  [ 79  95  95]]

 ...

 [[104 112 111]
  [ 50  61  59]
  [ 54  67  66]
  ...
  [  9  11  19]
  [ 13  12  21]
  [ 25  24  33]]

 [[102 110 109]
  [ 51  62  60]
  [ 52  65  63]
  ...
  [  8  10  18]
  [ 10   9  18]
  [ 25  24  33]]

 [[128 136 135]
  [ 82  93  91]
  [ 81  94  92]
  ...
  [ 45  47  55]
  [ 47  46  55]
  [ 60  59  67]]]",0
"[[[114 116  96]
  [115 117  97]
  [117 119  99]
  ...
  [183 188 166]
  [183 186 160]
  [181 184 158]]

 [[116 118  98]
  [116 119  99]
  [119 121 101]
  ...
  [187 192 170]
  [183 187 162]
  [179 183 158]]

 [[118 120 100]
  [119 121 101]
  [121 123 103]
  ...
  [180 186 163]
  [176 180 154]
  [170 174 149]]

 ...

 [[122 128 109]
  [126 132 113]
  [128 134 115]
  ...
  [136 144 127]
  [136 145 125]
  [136 145 125]]

 [[122 128 109]
  [124 130 111]
  [127 133 113]
  ...
  [136 144 127]
  [136 145 125]
  [136 145 125]]

 [[119 125 106]
  [121 127 108]
  [124 130 111]
  ...
  [132 141 123]
  [131 140 120]
  [130 139 119]]]",0
"[[[108 120 124]
  [110 122 126]
  [110 122 126]
  ...
  [ 53  60  56]
  [ 51  57  54]
  [ 50  56  55]]

 [[110 122 126]
  [112 124 128]
  [113 125 129]
  ...
  [ 54  62  59]
  [ 55  63  61]
  [ 53  61  60]]

 [[112 124 128]
  [114 126 130]
  [115 127 131]
  ...
  [ 60  71  69]
  [ 55  64  64]
  [ 50  59  59]]

 ...

 [[ 72  82  82]
  [ 72  82  82]
  [ 73  85  87]
  ...
  [ 41  69  80]
  [ 39  67  78]
  [ 37  65  76]]

 [[ 70  81  81]
  [ 71  82  82]
  [ 72  84  86]
  ...
  [ 40  68  79]
  [ 39  67  78]
  [ 37  65  76]]

 [[ 68  80  80]
  [ 70  82  82]
  [ 71  84  86]
  ...
  [ 39  67  78]
  [ 37  65  76]
  [ 35  63  75]]]",0
"[[[106 152 174]
  [106 154 176]
  [ 99 152 173]
  ...
  [105 138 153]
  [ 12  17  22]
  [  4   3   3]]

 [[102 149 171]
  [100 149 171]
  [ 98 151 172]
  ...
  [105 137 152]
  [ 11  16  21]
  [  2   2   1]]

 [[106 156 178]
  [103 153 175]
  [101 152 173]
  ...
  [104 137 152]
  [ 11  15  22]
  [  2   1   0]]

 ...

 [[ 68 101 104]
  [ 58  85  88]
  [ 32  49  54]
  ...
  [ 14  12   7]
  [  5   3   1]
  [  5   1   1]]

 [[  3   7  11]
  [  2   4   8]
  [  5   6  11]
  ...
  [  4   3   1]
  [  1   0   0]
  [  2   1   1]]

 [[ 16   1   2]
  [ 14   0   2]
  [ 12   1   3]
  ...
  [  0   1   0]
  [  0   0   0]
  [  1   0   2]]]",0
"[[[ 80  91  95]
  [ 81  92  96]
  [ 81  92  96]
  ...
  [ 59  61  62]
  [ 59  61  62]
  [ 58  59  61]]

 [[ 84  95  99]
  [ 84  95  99]
  [ 85  96 100]
  ...
  [ 59  61  62]
  [ 59  61  62]
  [ 59  61  62]]

 [[ 86  97 101]
  [ 87  98 102]
  [ 87  98 102]
  ...
  [ 59  61  62]
  [ 59  61  62]
  [ 56  58  59]]

 ...

 [[ 92  91  78]
  [ 94  89  91]
  [ 79  80  76]
  ...
  [ 33  34  32]
  [ 33  34  32]
  [ 32  33  31]]

 [[133 131 115]
  [ 92  86  89]
  [ 87  91  87]
  ...
  [ 32  32  30]
  [ 32  33  30]
  [ 30  32  29]]

 [[171 169 154]
  [ 88  82  87]
  [ 89  91  90]
  ...
  [ 30  31  29]
  [ 30  31  29]
  [ 28  29  27]]]",0
"[[[  5   1   2]
  [  6   0   3]
  [  4   0   1]
  ...
  [  0   0   4]
  [  0   0   2]
  [ 11   3   0]]

 [[  2   2   1]
  [ 23  24  29]
  [ 35  37  47]
  ...
  [ 23  28  37]
  [ 19  24  30]
  [  6   2   0]]

 [[  0   3   1]
  [ 63  72  82]
  [100 112 135]
  ...
  [ 81  93 108]
  [ 59  70  82]
  [  1   0   0]]

 ...

 [[  3   2   3]
  [ 18  40  65]
  [ 44  71 116]
  ...
  [ 43  40  42]
  [ 36  33  35]
  [  3   1   3]]

 [[  1   2   3]
  [  7  15  26]
  [ 20  30  50]
  ...
  [ 22  22  22]
  [ 13  13  13]
  [  0   0   0]]

 [[  0   1   5]
  [  4   0   1]
  [  6   0   2]
  ...
  [  1   1   1]
  [  2   2   2]
  [  3   3   3]]]",0
"[[[ 10  87 116]
  [  8  85 114]
  [  9  85 114]
  ...
  [118 139 170]
  [118 139 170]
  [121 142 173]]

 [[  6  83 112]
  [  0  77 106]
  [  0  76 105]
  ...
  [114 134 165]
  [114 134 165]
  [117 138 169]]

 [[ 10  90 119]
  [  3  80 109]
  [  1  77 106]
  ...
  [114 135 166]
  [114 135 166]
  [118 139 170]]

 ...

 [[ 39 130 169]
  [ 31 122 161]
  [ 24 114 154]
  ...
  [ 25 107 148]
  [ 25 107 148]
  [ 27 110 148]]

 [[ 32 121 159]
  [ 18 108 146]
  [  9 100 138]
  ...
  [ 23 107 147]
  [ 22 104 145]
  [ 33 114 152]]

 [[ 32 114 150]
  [ 16 103 138]
  [  7  98 133]
  ...
  [ 28 110 148]
  [ 28 114 151]
  [ 28 113 151]]]",0
"[[[ 56 134 180]
  [ 50 128 174]
  [ 52 130 176]
  ...
  [ 19  15   6]
  [ 18  15   7]
  [ 19  16   8]]

 [[ 49 127 173]
  [ 43 121 167]
  [ 45 123 169]
  ...
  [ 23  18  10]
  [ 23  20  12]
  [ 24  21  13]]

 [[ 52 130 176]
  [ 47 125 171]
  [ 49 127 173]
  ...
  [ 26  21  13]
  [ 25  22  14]
  [ 26  23  15]]

 ...

 [[139 170 193]
  [127 158 181]
  [134 165 188]
  ...
  [206 234 252]
  [199 229 249]
  [189 219 238]]

 [[143 174 197]
  [135 166 189]
  [138 169 192]
  ...
  [206 233 249]
  [203 231 248]
  [195 224 240]]

 [[146 178 200]
  [141 172 195]
  [140 171 194]
  ...
  [205 231 248]
  [202 229 245]
  [202 229 245]]]",0
